1	Armatnia	Śródmieście	Proletariacka, Żabia
2	Astrów	Dojlidy Górne	Ostróżki, bez wylotu
3	Atłasowa	Zawady	Produkcyjna, bez wylotu
4	Bacewicz	Wygoda	Robotnicza, bez wylotu
5	Batalionów Chłopskich	Leśna Dolina	Sikorskiego, Popiełuszki
6	Belgijska	Starosielce	Szwajcarska, Hiszpańska
7	Berberysowa	Dojlidy Górne	Skowrońska, Milowa
8	Bielska	Białostoczek	Sitarska, Hajnowska
9	Blokowa	Wysoki Stoczek	Konstytucji 3 Maja, Rzemieślnicza
10	Boruty	Jaroszówka	Baśniowa, Baśniowa
11	Brukowa	Śródmieście	Krakowska, Sosnowa
12	Buska	Białostoczek	Olsztyńska, Olsztyńska
13	Chabrowa	Wygoda	42 Pułku Piechoty, Wschodnia, Chełmońskiego
14	Chełmska	Bema	Bema, bez wylotu
15	Chętnika	Wygoda	Oczki, bez wylotu
16	Cienista	Zwierzyniec, Mickiewicza	Żwirki i Wigury, Zwierzyniecka
17	Daleka	Piasta	Towarowa, Skorupska, Słonimska
18	Dokerów	Dojlidy Górne	Wigierska, bez wylotu
19	Dubois	Nowe Miasto	Pułaskiego, Paderewskiego
20	Esperantystów	Bacieczki	Kleeberga, Grabowskiego
21	Francuska	Starosielce	Nowosielska, Węgierska (Girstuna)
22	Fregatowa	Dojlidy Górne	Wigierska, bez wylotu
23	Gen Grota-Roweckiego	Jaroszówka	Hubala, Armii Krajowej
24	Gen Kleeberga	Bacieczki	Maczka, bez wylotu
25	Gen Maczka	Białostoczek	Kleeberga, Andersa
26	Gen Sikorskiego	Słoneczny Stok, Leśna Dolina	Aleja Jana Pawła II, Popiełuszki
27	Giżycka	Białostoczek	Suwalska, Sitarska
28	Gogola	Wygoda	Wańkowicza, bez wylotu
29	Gołębia	Nowe Miasto, Kawaleryjska	Kręta, Pułaskiego
30	Gorkiego	Wygoda	Wańkowicza, Chętnika
31	Gradowa	Wygoda	Sosabowskiego, bez wylotu
32	Grodzieńska	Białostoczek	Wileńska, Kowieńska, 1000lecia PP
33	Gródecka	Przemysłowe	Pozioma, Baranowicka
34	Hajnowska	Białostoczek	Sitarska, Bielska
35	Honorowych Krwiodawców	Wygoda	Malinowskiego, bez wylotu
36	Jałowcowa	Dziesięciny	Maczka, Dziesięciny
37	Jelenia	Dojlidy	Żurawia, Sokola
38	Kazaneckiego	Bacieczki	Merkurego, Szewko
39	Kątowa	Wygoda	Wasilkowska, Sosabowskiego
40	Kłosowa	Wysockiego, Jaroszówka	Radosna, bez wylotu
41	Królicza	Dojlidy	Żurawia, Rysia
42	Królowej Bony	Pietrasze	Łokietka, Augusta/Błękitna
43	Krucza	Nowe Miasto, Kawaleryjska	Zachodnia, Wspólna
44	Krzyżowa	Zgoda, Wygoda	Raginisa, Kasprzaka, Łącznikowa
45	Ks. abp. Kisiela	Nowe Miasto	Kręta, Pogodna
46	Ks. abp Jałbrzykowskiego	Wysoki Stoczek	Wysoki Stoczek, Konstytucji 3 Maja
47	Ks. Abramowicza	Śródmieście	Lipowa, Dąbrowskiego
48	Lawendowa	Starosielce	Magnoliowa, Wrocławska, Boboli
49	Lema	Wygoda	Wyspiańskiego, Karłowicza
50	Leśna	Przemysłowe	Baranowicka, Dojnowska
51	Leśne Echa	Dojlidy Górne	Solnicka, bez wylotu
52	Liliowa	Zawady	Końcowa, Sapiechy
53	Lubczykowa	Dojlidy Górne	Halicka, nad Potokiem
54	Łotewska	Starosielce	Skandynawska, Bałtycka
55	Najmilsza	Wysoki Stoczek	Szeroka, Wysoki Stoczek
56	Niezapominajki	Dojlidy Górne	Skowrońska, Milowa
57	Niska	Leśna Dolina	Sikorskiego, Armii Krajowej
58	NMP Królewej Rodzin	Bacieczki	Merkurego, Komarowa
59	Macierzanki	Dojlidy Górne	Zalesie, bez wylotu
